Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:01,15-Apr-2025 23:22:01,36.45286,-122.77768,066.7 060.0,066.7,060.0,519.000,523.502,,5.7116,,5.7104,,5.7110,34.2558,,34.2552,34.2526,,34.2499,34.2526,0.2972,,0.4510,0.4323,0.2863,,0.4275,0.4195,0.4259,12.926,19.7215,18.5259,12.452,26.2793,18.0729,18.2994,0.0357,,,,0.9244,,0.0000,41.529,27.0060,,27.0036,,,,,,,0.0000E+00,,2.1992E-02,,5.6672,5.6660,0.8171,111.195,4.252,4.096,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:03,15-Apr-2025 23:22:03,36.45286,-122.77768,066.7 060.0,066.7,060.0,518.000,522.492,,5.7133,,5.7127,,5.7130,34.2553,,34.2547,34.2521,,34.2494,34.2521,0.2972,,0.4510,0.4323,0.2863,,0.4275,0.4195,0.4259,12.924,19.7195,18.5238,12.450,26.2772,18.0707,18.2973,0.0363,,,,0.9241,,0.0000,41.510,27.0054,,27.0029,,,,,,,0.0000E+00,,2.4913E-02,,5.6689,5.6684,0.8171,111.239,4.252,4.096,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:08,15-Apr-2025 23:22:08,36.45287,-122.77771,066.7 060.0,066.7,060.0,517.000,521.482,,5.7128,,5.7123,,5.7126,34.2555,,34.2549,34.2520,,34.2493,34.2521,0.2972,,0.4510,0.4323,0.2863,,0.4275,0.4195,0.4259,12.923,19.7185,18.5227,12.449,26.2761,18.0697,18.2962,0.0363,,,,0.9244,,0.0000,41.529,27.0056,,27.0029,,,,,,,0.0000E+00,,2.2344E-02,,5.6685,5.6680,0.8177,111.212,4.251,4.095,517,5.713,34.2542,0.471,20.48,,,41.13,0.005,0.00,3.04,83.07
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:34,15-Apr-2025 23:22:34,36.45289,-122.77786,066.7 060.0,066.7,060.0,516.000,520.472,,5.7123,,5.7120,,5.7122,34.2555,,34.2549,34.2519,,34.2492,34.2521,0.2980,,0.4518,0.4331,0.2863,,0.4275,0.4195,0.4263,12.960,19.7560,18.5612,12.450,26.3153,18.0707,18.3160,0.0365,,,,0.9241,,0.0000,41.510,27.0056,,27.0028,,,,,,,0.0000E+00,,1.8526E-02,,5.6681,5.6678,0.8217,111.193,4.264,4.096,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:35,15-Apr-2025 23:22:35,36.45290,-122.77788,066.7 060.0,066.7,060.0,515.000,519.463,,5.7139,,5.7134,,5.7137,34.2547,,34.2541,34.2514,,34.2487,34.2514,0.3111,,0.4651,0.4469,0.2881,,0.4293,0.4214,0.4342,13.528,20.3322,19.1517,12.528,26.9166,18.1546,18.6532,0.0363,,,,0.9234,,0.0000,41.465,27.0048,,27.0023,,,,,,,0.0000E+00,,1.5842E-02,,5.6698,5.6693,0.8219,111.255,4.451,4.121,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:36,15-Apr-2025 23:22:36,36.45290,-122.77788,066.7 060.0,066.7,060.0,514.000,518.453,,5.7192,,5.7190,,5.7191,34.2535,,34.2529,34.2498,,34.2471,34.2500,0.3053,,0.4592,0.4408,0.2964,,0.4380,0.4305,0.4357,13.276,20.0766,18.8897,12.888,26.6498,18.5418,18.7158,0.0375,,,,0.9234,,0.0000,41.465,27.0032,,27.0003,,,,,,,0.0000E+00,,1.2276E-02,,5.6752,5.6749,0.8219,111.401,4.368,4.241,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:37,15-Apr-2025 23:22:37,36.45290,-122.77788,066.7 060.0,066.7,060.0,513.000,517.443,,5.7222,,5.7218,,5.7220,34.2530,,34.2524,34.2493,,34.2466,34.2495,0.3021,,0.4560,0.4374,0.2945,,0.4360,0.4284,0.4329,13.138,19.9366,18.7462,12.805,26.5037,18.4526,18.5994,0.0366,,,,0.9233,,0.0000,41.459,27.0025,,26.9996,,,,,,,0.0000E+00,,1.2197E-02,,5.6782,5.6778,0.8219,111.462,4.323,4.214,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:38,15-Apr-2025 23:22:38,36.45290,-122.77789,066.7 060.0,066.7,060.0,512.000,516.433,,5.7236,,5.7234,,5.7235,34.2525,,34.2519,34.2489,,34.2462,34.2491,0.3062,,0.4601,0.4417,0.2908,,0.4321,0.4244,0.4331,13.314,20.1151,18.9292,12.647,26.6900,18.2826,18.6059,0.0366,,,,0.9230,,0.0000,41.440,27.0018,,26.9990,,,,,,,0.0000E+00,,1.5570E-02,,5.6797,5.6795,0.8219,111.511,4.381,4.161,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:39,15-Apr-2025 23:22:39,36.45290,-122.77790,066.7 060.0,066.7,060.0,511.000,515.423,,5.7244,,5.7236,,5.7240,34.2516,,34.2510,34.2484,,34.2457,34.2484,0.3081,,0.4621,0.4437,0.2909,,0.4322,0.4245,0.4341,13.398,20.2003,19.0165,12.648,26.7790,18.2837,18.6501,0.0366,,,,0.9226,,0.0000,41.415,27.0010,,26.9986,,,,,,,0.0000E+00,,1.1725E-02,,5.6806,5.6798,0.8219,111.576,4.409,4.162,,,,,,,,,,,,
CalCOFI,2504SH,103,,2504_103u,16-Apr-2025 07:22:40,15-Apr-2025 23:22:40,36.45290,-122.77790,066.7 060.0,066.7,060.0,510.000,514.413,,5.7247,,5.7243,,5.7245,34.2519,,34.2513,34.2482,,34.2455,34.2484,0.3081,,0.4621,0.4437,0.2962,,0.4378,0.4303,0.4370,13.398,20.2003,19.0165,12.879,26.7790,18.5322,18.7744,0.0362,,,,0.9205,,0.0000,41.282,27.0012,,26.9983,,,,,,,0.0000E+00,,1.0278E-02,,5.6810,5.6806,0.8219,111.541,4.409,4.238,,,,,,,,,,,,
