Project,Study,Ord_Occ,Event_Num,Cast_ID,Date_Time_UTC,Date_Time_PST,Lat_Dec,Lon_Dec,Sta_ID,Line,Sta,Depth,Pressure,PrQ,Temp1,Temp1Q,Temp2,Temp2Q,TempAve,Salt1,Salt1Q,Salt1_Corr,Salt2,Salt2Q,Salt2_Corr,SaltAve_Corr,Ox1,Ox1Q,Ox1_CruiseCorr,Ox1_StaCorr,Ox2,Ox2Q,Ox2_CruiseCorr,Ox2_StaCorr,OxAve_StaCorr,Ox1uM,Ox1uM_CruiseCorr,Ox1uM_StaCorr,Ox2uM,Ox2uM_CruiseCorr,Ox2uM_StaCorr,OxAveuM_StaCorr,FluorV,FluorQ,EstChl_CruiseCorr,EstChl_StaCorr,ISUSV,ISUSQ,EstNO3_CruiseCorr,EstNO3_StaCorr,SigThetaTS1,SigThetaTS1Q,SigThetaTS2,SigThetaTS2Q,BAT,XMiss,TransQ,pH,pHQ,SPAR,SPARQ,PAR,PARQ,PoT1,PoT2,DynHt,SVA,OxSat1,OxSat2,BTL_Depth,BTL_Temp,SaltB,OxB,OxBuM,Chl-a,Phaeo,NO3,NO2,NH4,PO4,SIL
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:08,21-Mar-2025 09:00:08,32.52825,-118.21579,093.3 040.0,093.3,040.0,4.000,4.028,,14.5761,,14.5797,,14.5779,33.3235,,33.3229,33.3223,,33.3196,33.3213,5.8447,,6.0701,,5.6429,,6.0096,,,254.716,264.9933,264.1843,245.923,282.2449,262.8321,263.5082,0.0917,,0.4077,0.5016,0.4044,,0.0000,0.455,24.7708,,24.7691,,,,,,,0.0000E+00,,3.5476E+00,,14.5755,14.5792,-0.0025,316.707,100.762,97.290,4,14.586,33.3250,,263.97,0.642,0.089,0.34,0.016,0.05,0.29,1.70
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:33,21-Mar-2025 09:00:33,32.52822,-118.21580,093.3 040.0,093.3,040.0,5.000,5.035,,14.5805,,14.5770,,14.5788,33.3238,,33.3232,33.3226,,33.3199,33.3216,5.7723,,5.9968,,5.6519,,6.0189,,,251.560,261.7919,260.9655,246.313,278.9039,263.2443,262.1049,0.0884,,0.3825,0.4782,0.4420,,0.0000,0.894,24.7701,,24.7699,,,,,,,0.0000E+00,,3.1676E+00,,14.5797,14.5762,0.0086,316.803,99.522,97.439,,,,,,,,,,,,
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:31,21-Mar-2025 09:00:31,32.52822,-118.21580,093.3 040.0,093.3,040.0,6.000,6.042,,14.5740,,14.5732,,14.5736,33.3236,,33.3230,33.3226,,33.3199,33.3215,5.8056,,6.0305,,5.6705,,6.0383,,,253.011,263.2638,262.4453,247.125,280.4400,264.1024,263.2739,0.0897,,0.3924,0.4875,0.4310,,0.0000,0.765,24.7714,,24.7708,,,,,,,0.0000E+00,,2.8840E+00,,14.5731,14.5723,0.0110,316.709,100.084,97.753,,,,,,,,,,,,
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:35,21-Mar-2025 09:00:35,32.52822,-118.21580,093.3 040.0,093.3,040.0,7.000,7.049,,14.5710,,14.5700,,14.5705,33.3236,,33.3230,33.3225,,33.3198,33.3214,5.8314,,6.0566,,5.6325,,5.9987,,,254.135,264.4039,263.5917,245.465,281.6299,262.3481,262.9699,0.1032,,0.4997,0.5777,0.4342,,0.0000,0.803,24.7721,,24.7714,,,,,,,0.0000E+00,,2.4984E+00,,14.5699,14.5689,0.0146,316.673,100.522,97.090,7,14.565,33.3363,,266.54,0.693,0.098,0.32,0.016,0.03,0.29,1.68
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:37,21-Mar-2025 09:00:37,32.52820,-118.21580,093.3 040.0,093.3,040.0,8.000,8.057,,14.5663,,14.5653,,14.5658,33.3238,,33.3232,33.3226,,33.3199,33.3216,5.8552,,6.0807,,5.6611,,6.0285,,,255.174,265.4579,264.6514,246.715,282.7298,263.6691,264.1603,0.1007,,0.4791,0.5619,0.4343,,0.0000,0.804,24.7732,,24.7725,,,,,,,0.0000E+00,,2.4149E+00,,14.5651,14.5641,0.0180,316.597,100.924,97.575,,,,,,,,,,,,
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:38,21-Mar-2025 09:00:38,32.52820,-118.21580,093.3 040.0,093.3,040.0,9.000,9.064,,14.5644,,14.5638,,14.5641,33.3237,,33.3231,33.3227,,33.3200,33.3216,5.8606,,6.0862,,5.6529,,6.0200,,,255.405,265.6922,264.8870,246.356,282.9743,263.2897,264.0884,0.1100,,0.5574,0.6189,0.4339,,0.0000,0.799,24.7737,,24.7730,,,,,,,0.0000E+00,,2.2021E+00,,14.5631,14.5625,0.0212,316.586,101.011,97.431,9,14.560,33.3276,,266.62,0.630,0.192,0.32,0.016,0.00,0.29,1.68
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:39,21-Mar-2025 09:00:39,32.52820,-118.21580,093.3 040.0,093.3,040.0,10.000,10.071,,14.5637,,14.5632,,14.5635,33.3237,,33.3231,33.3226,,33.3199,33.3215,5.8554,,6.0809,,5.6372,,6.0036,,,255.179,265.4630,264.6565,245.672,282.7351,262.5669,263.6117,0.1233,,0.6772,0.6910,0.4331,,0.0000,0.790,24.7738,,24.7731,,,,,,,0.0000E+00,,1.9896E+00,,14.5622,14.5618,0.0244,316.602,100.921,97.159,,,,,,,,,,,,
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:43,21-Mar-2025 09:00:43,32.52822,-118.21580,093.3 040.0,093.3,040.0,11.000,11.078,,14.5639,,14.5633,,14.5636,33.3237,,33.3231,33.3226,,33.3199,33.3215,5.8156,,6.0406,,5.6600,,6.0274,,,253.447,263.7060,262.8900,246.665,280.9015,263.6163,263.2532,0.1263,,0.7055,0.7057,0.4313,,0.0000,0.769,24.7738,,24.7731,,,,,,,0.0000E+00,,1.8729E+00,,14.5622,14.5617,0.0276,316.629,100.236,97.552,,,,,,,,,,,,
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:44,21-Mar-2025 09:00:44,32.52820,-118.21578,093.3 040.0,093.3,040.0,12.000,12.085,,14.5627,,14.5619,,14.5623,33.3239,,33.3233,33.3227,,33.3200,33.3217,5.8071,,6.0320,,5.6295,,5.9956,,,253.075,263.3287,262.5106,245.335,280.5077,262.2107,262.3607,0.1395,,0.8357,0.7639,0.4321,,0.0000,0.778,24.7742,,24.7735,,,,,,,0.0000E+00,,1.7141E+00,,14.5610,14.5602,0.0308,316.623,100.087,97.023,,,,,,,,,,,,
CalCOFI,2504SH,007,,2504_007d,21-Mar-2025 17:00:45,21-Mar-2025 09:00:45,32.52820,-118.21578,093.3 040.0,093.3,040.0,13.000,13.092,,14.5621,,14.5615,,14.5618,33.3239,,33.3233,33.3228,,33.3201,33.3217,5.8110,,6.0360,,5.6424,,6.0090,,,253.243,263.4991,262.6819,245.900,280.6856,262.8078,262.7449,0.1394,,0.8346,0.7635,0.4327,,0.0000,0.785,24.7744,,24.7737,,,,,,,0.0000E+00,,1.6092E+00,,14.5602,14.5596,0.0340,316.633,100.152,97.246,,,,,,,,,,,,
