Project,Study,Ord_Occ,Sta_ID,Cruise_Cast,Cast_ID,FileName,SeasaveAcqVer,Temperature_SN,Conductivity_SN,Bytes/Scan,Num_VoltageWords,ScansAve_DeckUnit,StartCast_PST,NMEA_Latitude,NMEA_Longitude,NMEA_UTC_,Store_Lat/Lon_Data,number_of_scans_to_average,pressure_baud_rate,NMEA_baud_rate,A/D_offset,GPIB_address,Ship,Cruise,Station,Cast,Operator,Cast Type,System_UTC,scan,timeJ,prDM,t090C,t190C,TRANSV,FLUORV,ALTV,PARV,OX1V,OX2V,ISUSV,PHV,spar,par,latitude,longitude,depSM,sal00,sal11,sbeox0ML/L,sbeox0PS,sbox0Mm/Kg,sbeox1ML/L,sbeox1PS,sbox1Mm/Kg,Sigma-theta00,Sigma-theta11,potemp090C,potemp190C,dm,sva,nbin,ProcDate,SBEDataProcVers,CTD.File,CTD.Con,datcnv_Ox1_hysteresis_corr,Filter_tcA,Filter_tcB,Filter_tcAvars,Filter_tcBvars,AlignCTD_Adv,celltm_alpha,celltm_tau,celltm_tsensors,derive_CNV.File,derive_CNV.Con,Derive_docdt,derive_ox_tau_corr,Loopedit_minVel,Loopedit_excl_bad_scans,Binavg_bintype,Binavg_binsize
CalCOFI,2504SH,001,093.3 028.0,2504_001,2504_001u,2504001.hex,.107,5102,3569,44,5,1,20-Mar-2025 21:21:44,32 54.44 N,117 23.55 W,21-Mar-2025 Mar 20 2025 21:20:03,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.3 28.0,001,kdv,ROS,21-Mar-2025 Mar 20 2025 21:21:44,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.9073,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:29,7.26.7.129 [datcnv_vars = 21],2504001.hex,4001.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504001.cnv,4001.XMLCON,seconds: 2,yes,,,meters,1
CalCOFI,2504SH,001,093.3 028.0,2504_001,2504_001d,2504001.hex,.107,5102,3569,44,5,1,20-Mar-2025 21:21:44,32 54.44 N,117 23.55 W,21-Mar-2025 Mar 20 2025 21:20:03,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.3 28.0,001,kdv,ROS,21-Mar-2025 Mar 20 2025 21:21:44,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.9073,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:29,7.26.7.129 [datcnv_vars = 21],2504001.hex,4001.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504001.cnv,4001.XMLCON,seconds: 2,yes,meters,1
CalCOFI,2504SH,002,091.7 026.4,2504_002,2504_002u,2504002.hex,.107,5102,3569,44,5,1,21-Mar-2025 02:26:59,33 13.77 N,117 28.85 W,21-Mar-2025 Mar 21 2025 02:23:05,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,91.7 26.4,002,JMA,SCCOOS,21-Mar-2025 Mar 21 2025 02:26:59,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 33.2295,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:31,7.26.7.129 [datcnv_vars = 21],2504002.hex,4002.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504002.cnv,4002.XMLCON,seconds: 2,yes,,,meters,1
CalCOFI,2504SH,002,091.7 026.4,2504_002,2504_002d,2504002.hex,.107,5102,3569,44,5,1,21-Mar-2025 02:26:59,33 13.77 N,117 28.85 W,21-Mar-2025 Mar 21 2025 02:23:05,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,91.7 26.4,002,JMA,SCCOOS,21-Mar-2025 Mar 21 2025 02:26:59,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 33.2295,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:31,7.26.7.129 [datcnv_vars = 21],2504002.hex,4002.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504002.cnv,4002.XMLCON,seconds: 2,yes,meters,1
CalCOFI,2504SH,003,093.4 026.4,2504_003,2504_003u,2504003.hex,.107,5102,3569,44,5,1,21-Mar-2025 05:04:09,32 56.27 N,117 17.54 W,21-Mar-2025 Mar 21 2025 05:02:54,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.4 26.4,003,KDV,SCCOOS,21-Mar-2025 Mar 21 2025 05:04:09,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.9378,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:31,7.26.7.129 [datcnv_vars = 21],2504003.hex,4003.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504003.cnv,4003.XMLCON,seconds: 2,yes,,,meters,1
CalCOFI,2504SH,003,093.4 026.4,2504_003,2504_003d,2504003.hex,.107,5102,3569,44,5,1,21-Mar-2025 05:04:09,32 56.27 N,117 17.54 W,21-Mar-2025 Mar 21 2025 05:02:54,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.4 26.4,003,KDV,SCCOOS,21-Mar-2025 Mar 21 2025 05:04:09,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.9378,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:31,7.26.7.129 [datcnv_vars = 21],2504003.hex,4003.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504003.cnv,4003.XMLCON,seconds: 2,yes,meters,1
CalCOFI,2504SH,004,093.3 026.7,2504_004,2504_004u,2504004.hex,.107,5102,3569,44,5,1,21-Mar-2025 05:56:07,32 57.22 N,117 18.37 W,21-Mar-2025 Mar 21 2025 05:54:28,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.3 26.7,004,JMA,ROS,21-Mar-2025 Mar 21 2025 05:56:07,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.9537,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:32,7.26.7.129 [datcnv_vars = 21],2504004.hex,4004.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504004.cnv,4004.XMLCON,seconds: 2,yes,,,meters,1
CalCOFI,2504SH,004,093.3 026.7,2504_004,2504_004d,2504004.hex,.107,5102,3569,44,5,1,21-Mar-2025 05:56:07,32 57.22 N,117 18.37 W,21-Mar-2025 Mar 21 2025 05:54:28,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.3 26.7,004,JMA,ROS,21-Mar-2025 Mar 21 2025 05:56:07,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.9537,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:32,7.26.7.129 [datcnv_vars = 21],2504004.hex,4004.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504004.cnv,4004.XMLCON,seconds: 2,yes,meters,1
CalCOFI,2504SH,005,093.3 030.0,2504_005,2504_005u,2504005.hex,.107,5102,3569,44,5,1,21-Mar-2025 08:28:20,32 50.82 N,117 31.44 W,21-Mar-2025 Mar 21 2025 08:27:07,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.3 30.0,005,LTI,ROS,21-Mar-2025 Mar 21 2025 08:28:20,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.847,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:33,7.26.7.129 [datcnv_vars = 21],2504005.hex,4005.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504005.cnv,4005.XMLCON,seconds: 2,yes,,,meters,1
CalCOFI,2504SH,005,093.3 030.0,2504_005,2504_005d,2504005.hex,.107,5102,3569,44,5,1,21-Mar-2025 08:28:20,32 50.82 N,117 31.44 W,21-Mar-2025 Mar 21 2025 08:27:07,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.3 30.0,005,LTI,ROS,21-Mar-2025 Mar 21 2025 08:28:20,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.847,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:33,7.26.7.129 [datcnv_vars = 21],2504005.hex,4005.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504005.cnv,4005.XMLCON,seconds: 2,yes,meters,1
CalCOFI,2504SH,006,093.3 035.0,2504_006,2504_006u,2504006.hex,.107,5102,3569,44,5,1,21-Mar-2025 12:10:09,32 41.02 N,117 52.06 W,21-Mar-2025 Mar 21 2025 12:09:08,Append to Every Scan,1,9600,4800,2,1,BELL M. SHIMADA,2504SH,93.3 35.0,006,LTI,ROS,21-Mar-2025 Mar 21 2025 12:10:09,Scan Count,Julian Days,Pressure Digiquartz [db],Temperature [ITS-90 deg C],Temperature 2 [ITS-90 deg C],Voltage 0,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Voltage 5,Voltage 6,Voltage 7,SPAR Biospherical/Licor [umol photons/m^2/sec],PAR/Irradiance Biospherical/Licor,Latitude [deg],Longitude [deg],Depth [salt water m] lat = 32.6837,Salinity Practical [PSU],Salinity Practical 2 [PSU],Oxygen SBE 43 [ml/l] WS = 2,Oxygen SBE 43 [% saturation] WS = 2,Oxygen SBE 43 [umol/kg] WS = 2,Oxygen SBE 43 2 [ml/l] WS = 2,Oxygen SBE 43 2 [% saturation] WS = 2,Oxygen SBE 43 2 [umol/kg] WS = 2,Density [sigma-theta kg/m^3],Density 2 [sigma-theta kg/m^3],Potential Temperature [ITS-90 deg C],Potential Temperature 2 [ITS-90 deg C],Dynamic Meters [10 J/kg],Specific Volume Anomaly [10^-8 * m^3/kg],number of scans per bin,14-May-2025 11:10:34,7.26.7.129 [datcnv_vars = 21],2504006.hex,4006.XMLCON, yes,0.030,0.150,spar par,prDM,v4 4.000; v5 4.000; sbeox0V 4.000; sbeox1V 4.000,0.0300; 0.0000,7.0000; 0.0000,primary;,2504006.cnv,4006.XMLCON,seconds: 2,yes,,,meters,1
