Cast_ID,Line,Sta,scan_Min,scan_Max,timeJ_Min,timeJ_Max,prDM_Min,prDM_Max,t090C_Min,t090C_Max,t190C_Min,t190C_Max,TRANSV_Min,TRANSV_Max,FLUORV_Min,FLUORV_Max,ALTV_Min,ALTV_Max,PARV_Min,PARV_Max,OX1V_Min,OX1V_Max,OX2V_Min,OX2V_Max,ISUSV_Min,ISUSV_Max,PHV_Min,PHV_Max,spar_Min,spar_Max,par_Min,par_Max,latitude_Min,latitude_Max,longitude_Min,longitude_Max,depSM_Min,depSM_Max,sal00_Min,sal00_Max,sal11_Min,sal11_Max,sbeox0ML/L_Min,sbeox0ML/L_Max,sbeox0PS_Min,sbeox0PS_Max,sbox0Mm/Kg_Min,sbox0Mm/Kg_Max,sbeox1ML/L_Min,sbeox1ML/L_Max,sbeox1PS_Min,sbeox1PS_Max,sbox1Mm/Kg_Min,sbox1Mm/Kg_Max,Sigma-theta00_Min,Sigma-theta00_Max,Sigma-theta11_Min,Sigma-theta11_Max,potemp090C_Min,potemp090C_Max,potemp190C_Min,potemp190C_Max,dm_Min,dm_Max,sva_Min,sva_Max,nbin_Min,nbin_Max
2504_001u,93.3,28.0,17445,76521,79.897336,79.925825,2.014,520.313,6.3692,14.4591,6.3690,14.5208,4.3966,4.7262,0.0354,0.4381,2.6637,5.1110,0.0010,2.3625,0.5922,2.4914,0.5701,2.7148,0.4099,3.6241,2.6862,2.8598,0.0000e+00,0.0000e+00,1.0000e-12,2.0716e+01,32.89438,32.90416,-117.39476,-117.39331,2.000,516.000,33.3662,34.3062,33.3676,34.3027,0.2675,6.5697,3.887,111.690,11.634,286.256,0.2745,6.3107,3.989,107.273,11.937,274.969,24.8379,26.9579,24.8174,26.9573,6.3224,14.4585,6.3222,14.5202,0.8298,0.9988,116.506,310.325,17,1940
2504_001d,93.3,28.0,726,17257,79.889273,79.897245,3.021,520.313,6.3713,14.9325,6.3710,14.9387,4.2172,4.7265,0.0335,0.3394,3.1840,4.9652,0.0012,1.6736,0.5924,2.4522,0.5709,2.6863,0.3060,3.6367,2.6862,2.8569,0.0000e+00,0.0000e+00,-2.321e-07,4.0626e+00,32.90419,32.90684,-117.39404,-117.39295,3.000,516.000,33.3578,34.3004,33.3650,34.3007,0.2643,6.4560,3.842,110.754,11.492,281.331,0.2753,6.2346,4.002,106.896,11.974,271.680,24.7285,26.9574,24.7273,26.9571,6.3245,14.9321,6.3242,14.9383,0.0099,0.8291,116.552,320.708,17,283
2504_002u,91.7,26.4,3615,13245,80.101106,80.105750,2.014,44.319,11.0607,14.8015,11.0807,14.8063,4.1306,4.6692,0.0416,0.3848,0.2451,2.4047,0.1017,0.3384,1.1681,2.6032,1.2294,2.8466,0.3900,2.2600,2.7335,2.8671,0.0000e+00,0.0000e+00,2.0496e-02,1.0107e-01,33.22647,33.22813,-117.47998,-117.47954,2.000,44.000,33.3972,33.7879,33.3961,33.7752,2.2919,6.9314,36.872,118.233,99.782,302.017,2.2332,6.6365,35.914,113.660,97.225,289.173,24.7828,25.8217,24.7808,25.8082,11.0554,14.8011,11.0754,14.8058,0.1105,0.1452,217.677,315.539,25,1660
2504_002d,91.7,26.4,-349,6796,80.099195,80.102641,2.014,44.318,11.0752,14.8272,11.0658,14.8018,4.1803,4.6729,0.0454,0.3892,0.2745,2.3433,0.2244,0.5249,1.1583,2.5901,1.2079,2.8569,0.3260,2.2171,2.7278,2.8630,0.0000e+00,0.0000e+00,5.0350e-02,2.0271e-01,33.22759,33.22864,-117.48050,-117.47980,2.000,44.000,33.3861,33.7806,33.3923,33.7837,2.2549,6.7948,36.259,117.466,98.167,296.114,2.1651,6.5923,34.809,113.943,94.260,287.286,24.7725,25.8135,24.7814,25.8176,11.0699,14.8267,11.0605,14.8014,-0.0034,0.1189,218.461,316.518,21,1502
2504_003u,93.4,26.4,4328,8182,80.212434,80.214292,2.014,45.324,10.4211,14.3971,10.4191,14.3955,4.3036,4.5635,0.0626,0.2109,0.2799,2.3303,0.2289,0.4333,0.9820,2.3287,1.0176,2.5613,0.7354,2.5285,2.7204,2.8330,0.0000e+00,0.0000e+00,5.8256e-02,1.4767e-01,32.93629,32.93692,-117.29226,-117.29198,2.000,45.000,33.4394,34.0153,33.4340,34.0140,1.6389,6.0194,26.030,102.870,71.329,262.276,1.6043,5.8143,25.479,99.721,69.824,253.340,24.8997,26.1118,24.8947,26.1111,10.4158,14.3965,10.4137,14.3949,0.1222,0.1382,190.101,304.420,20,751
2504_003d,93.4,26.4,318,3539,80.210500,80.212054,3.021,45.324,10.4184,14.4205,10.4193,14.4223,4.2988,4.5606,0.0621,0.2377,0.2685,2.3636,0.4761,0.6946,0.9842,2.3523,1.0208,2.5735,0.7380,2.5096,2.7237,2.8348,0.0000e+00,0.0000e+00,1.7372e-01,3.4442e-01,32.93705,32.93756,-117.29236,-117.29227,3.000,45.000,33.4243,34.0166,33.4333,34.0153,1.6461,6.0182,26.188,103.446,71.645,262.245,1.6126,5.8312,25.655,100.288,70.187,254.096,24.8925,26.1132,24.8911,26.1121,10.4130,14.4199,10.4140,14.4218,0.0056,0.1158,189.966,305.126,22,198
2504_004u,93.3,26.7,3959,15432,80.248066,80.253599,2.014,61.442,10.2210,14.3270,10.2188,14.3268,4.2358,4.6257,0.0450,0.3722,0.3766,4.6885,0.1044,0.4482,0.9895,2.4418,1.0253,2.6540,0.5457,2.5401,2.7253,2.8518,0.0000e+00,0.0000e+00,2.1386e-02,1.5570e-01,32.95103,32.95245,-117.30756,-117.30623,2.000,61.000,33.4034,34.0765,33.4026,34.0754,1.6703,6.3847,26.424,109.093,72.691,278.201,1.6383,6.1090,25.913,104.300,71.299,266.185,24.8864,26.1944,24.8847,26.1939,10.2139,14.3266,10.2116,14.3263,0.1390,0.1764,182.613,305.641,32,1211
2504_004d,93.3,26.7,92,3990,80.246201,80.248081,2.014,61.442,10.2235,14.2607,10.2234,14.2515,4.2500,4.6355,0.0432,0.3577,0.3739,3.8816,0.4569,0.7129,0.9896,2.4110,1.0269,2.6399,0.5758,2.5633,2.7282,2.8509,0.0000e+00,0.0000e+00,1.6011e-01,3.6191e-01,32.95245,32.95312,-117.30622,-117.30618,2.000,61.000,33.4193,34.0747,33.4191,34.0748,1.6727,6.2637,26.464,107.143,72.797,272.932,1.6423,6.0411,25.983,103.506,71.472,263.237,24.9131,26.1921,24.9141,26.1926,10.2165,14.2594,10.2164,14.2502,-0.0002,0.1394,182.805,303.307,29,715
2504_005u,93.3,30.0,17642,48673,80.360672,80.375636,4.028,520.311,6.5275,14.5889,6.5283,14.5880,4.3097,4.7247,0.0353,0.6592,2.3248,5.0484,0.0011,0.2039,0.5870,2.3459,0.5641,2.5682,0.4845,3.7045,2.6870,2.8463,0.0000e+00,0.0000e+00,-4.965e-06,5.0149e-02,32.83830,32.84372,-117.52352,-117.52294,4.000,516.000,33.3244,34.3550,33.3070,34.3522,0.2417,6.1994,3.527,104.924,10.510,270.114,0.2471,6.0094,3.609,101.609,10.747,261.833,24.7959,26.9520,24.7946,26.9508,6.4800,14.5880,6.4808,14.5872,0.8499,1.0053,117.255,314.377,14,1111
2504_005d,93.3,30.0,382,17240,80.352348,80.360478,5.035,520.311,6.5304,14.5749,6.5310,14.5744,4.2657,4.7253,0.0353,0.6035,2.5761,5.0539,0.2021,0.6554,0.5883,2.3637,0.5652,2.5861,0.4251,3.6991,2.6874,2.8499,0.0000e+00,0.0000e+00,4.9182e-02,3.0635e-01,32.84379,32.84658,-117.52412,-117.52354,5.000,516.000,33.3041,34.3548,33.3323,34.3540,0.2444,6.1280,3.577,104.604,10.627,267.024,0.2486,5.9303,3.637,101.223,10.812,258.412,24.7986,26.9516,24.7977,26.9503,6.4829,14.5736,6.4835,14.5730,0.0062,0.8477,117.298,314.211,15,507
